"product_name,dosage_form,dosage_form_colour,dosage_form_shape,dosage_form_marking,adulterant_type,manufacturer_name,manufacturer_country"
"MM Malia Mellia XXS xtraxtrasmall,Capsule,Grey;White,Oblong,No,Sibutramine,Nil,Malaysia"
"GS Gorgeousleem Advanced,Capsule,Black;Maroon,Oblong,No,Sibutramine;Spironolactone,Nil,Malaysia"
"D' Trim Obesity Solution,Capsule,Red;Light Pink,Oblong,No,Sibutramine,Nil,United States"
"Beautea Slim Fat Burner for Weight Loss 10 Days Program,Capsule,Pink,Oblong,No,Sibutramine,Nil,Nil"
"Bao Ling Capsules (保灵丸) Advance Finger Press Therapy,Capsule,Red,Oblong,No,Chlorpheniramine;Frusemide;Piroxicam,Not Available,Malaysia"
"Tablet Kuat Dan Tahan Lama Khusus Untuk Pria Dewasa 5x Lebih Dahsyat,Nil,Grey,Round,No,Chlorpheniramine;Diclofenac;Piroxicam,PJ. Singa Laut,Nil"
"Top Jaya Sakti Gemuk Sehat Kapsul,Capsule,Black;Red,Oblong,Yes,Cyproheptadine;Dexamethasone,PJ. Amrih Sehat,Indonesia"
"Obat Asam Urat Flu Tulang Super Untuk Pria Dan Wanita Capsule,Capsule,Maroon,Oblong,No,Dexamethasone;Diclofenac,Nil,Nil"
"LAMI Kapsul,Capsule,Orange;Red,Oblong,Yes,Sibutramine,Herbalindo SM,Indonesia"
"LANGSING ALAMI Kapsul,Capsule,Orange;Red,Oblong,Yes,Sibutramine,PT. HEMA CARE,Indonesia"
"4X Lebih Dahsyat Obat Kuat & Tahan Lama Urat Madu Capsule,Capsule,Red,Oblong,Yes,Sildenafil,PJ. AIR MADU Malang,Indonesia"
"Obat Kuat & Tahan Lama Khusus Pria Dewasa Maximal Capsule,Capsule,Red,Oblong,Yes,Sildenafil,PJ. JAYA ABADI,Indonesia"
"Power V Extra Strong Tongkat Ali 500mg Kapsul,Capsule,Transparent,Oblong,No,Sildenafil,Nil,Nil"
"Sendi-Plus 250mg Capsule,Capsule,Black,Oblong,No,Dexamethasone;Indomethacin;Piroxicam,P.T. Rindu Alam,Indonesia"
"Seki Sehat Pria Aprodisiak & Anti Impotensi Sami Aji Capsule,Capsule,Red,Oblong,No,Sildenafil,Kopja Aneka Sari Jawa-Tengah Indonesia,Indonesia"
"Laboratory Formula Healthcare Series MENERGY™ M-Essence 450mg Capsule,Capsule,Transparent,Oblong,No,Acetic Acid;Acetildenafil,Hong Kong Well Vantage Enterprises Ltd,Nil"
"Sin Gang San Langsing Ayu Kapsul Arma,Capsule,Orange,Oblong,No,Fenfluramine;Sibutramine,PJ. Warisan Jaya,Indonesia"
"Kangli Brand Tian Xia Di Yi Bang 2500mg Capsule (康力牌天下第一棒),Pill,Black;Pearl,Oblong& Round,Yes,Diclofenac;Phenolphthalein;Sibutramine;Sildenafil;Strychnine,Yan Ji Kang Li Bao Jian Pin You Xian Gong Si (延吉康力保健品有限公司),Nil"
"Xiang Shou Shou Shen Guo Shu Xian Wei Capsule (享瘦™瘦身果蔬纤维),Capsule,Blue;Green;White,Oblong,No,Phenolphthalein;Sibutramine,Shan Xi Cao Ze Tang Sheng Wu Gong Cheng You Xian Gong Si ( 山西草泽堂生物工程有限公司) & Cheng Du He Ji Yang Sen Lui Se Sheng Wu Ji Shu You Xian Gong Si (成都和记杨森绿色生物技术有限公司),China"
"Strong Boy,Nil,Brown,Round,Yes,Sildenafil,Not available,United States"
"SNE AMBERINE Capsules (瘦美精华),Capsule,Transparent,Oblong,No,Metformin;Sibutramine,Nature&#39;s Grace Medicine Sdn Bhd,Malaysia"
"Tianlong Brand Sheng Wu Gong Ting Sheng Bao 2000mg Capsules (天龙牌生物宫廷圣宝2000mg),Capsule,Blue,Oblong,Yes,Sildenafil;Tadalafil,西藏拉萨市天龙生物技术有限公司,Nil"
"Jin Sheng Li Brand Huang Jin Shen Bao 3g (金聖力牌黄金腎寳3g),Capsule,Green,Oblong,Yes,Sibutramine;Sildenafil;Tadalafil,西藏金聖力保健品有限公司,Nil"
